case,role,altitude_km,inside_R,outside_inner_R,outside_outer_R,radius_scale,inside_nT,outside_nT,ratio,matched_ratio,common_support_fraction
Newton,Primary crater case,400,0.8,1.2,2.0,0.9,24.491543904696908,28.92280828561721,0.8467899680708428,0.8612038176395033,1.0
Newton,Primary crater case,400,0.8,1.2,2.0,1.0,24.630264558318324,30.3730976153042,0.8109236953792881,0.8174221638320693,1.0
Newton,Primary crater case,400,0.8,1.2,2.0,1.1,24.698235401078477,31.902299845695374,0.7741835391347514,0.7668009342161648,1.0
Newton,Primary crater case,400,0.8,1.5,2.5,0.9,24.491543904696908,32.18875326063719,0.7608727093710397,0.7577065392147266,1.0
Newton,Primary crater case,400,0.8,1.5,2.5,1.0,24.630264558318324,34.31202469212381,0.7178318615506272,0.667582514908336,1.0
Newton,Primary crater case,400,0.8,1.5,2.5,1.1,24.698235401078477,36.50312242043369,0.6766061028043157,0.5956303064903968,1.0
Newton,Primary crater case,400,1.0,1.2,1.8,0.9,24.768874164326864,28.12725973547943,0.8806003285518662,0.9247815875313548,0.9999999999999998
Newton,Primary crater case,400,1.0,1.2,1.8,1.0,24.992969391404174,29.280003472451796,0.8535849189676123,0.8802452240101212,1.0
Newton,Primary crater case,400,1.0,1.2,1.8,1.1,25.281361456836848,30.69376789868387,0.8236643197500981,0.8334045697922031,0.9999999999999999
Newton,Primary crater case,400,1.0,1.2,2.0,0.9,24.768874164326864,28.92280828561721,0.8563786033406713,0.8773253639234896,0.9999999999999998
Newton,Primary crater case,400,1.0,1.2,2.0,1.0,24.992969391404174,30.3730976153042,0.8228653431387544,0.8322361653963217,1.0
Newton,Primary crater case,400,1.0,1.2,2.0,1.1,25.281361456836848,31.902299845695374,0.7924620349980223,0.785093232982305,0.9999999999999999
Newton,Primary crater case,400,1.0,1.5,2.5,0.9,24.768874164326864,32.18875326063719,0.7694884596420853,0.7611086459799831,0.9999999999999998
Newton,Primary crater case,400,1.0,1.5,2.5,1.0,24.992969391404174,34.31202469212381,0.7284026406387265,0.6710813022466329,1.0
Newton,Primary crater case,400,1.0,1.5,2.5,1.1,25.281361456836848,36.50312242043369,0.6925807925594022,0.6046220519253428,0.9999999999999999
Copernicus,Primary crater case,130,0.6,1.2,1.8,0.9,229.6305387800298,281.8249100314455,0.8147985880822531,0.7119850505938935,1.0
Copernicus,Primary crater case,130,0.6,1.2,1.8,1.0,233.4726537912484,292.45945761970614,0.7983077575656313,0.7090348433691246,1.0
Copernicus,Primary crater case,130,0.6,1.2,1.8,1.1,230.66284440330313,311.07287468354775,0.7415074189221893,0.6869075583622581,0.9999999999999998
Copernicus,Primary crater case,130,0.6,1.2,2.0,0.9,229.6305387800298,290.6608204904113,0.7900292113419021,0.703234599070371,1.0
Copernicus,Primary crater case,130,0.6,1.2,2.0,1.0,233.4726537912484,307.5980564300586,0.7590186248278042,0.6983942895006987,1.0
Copernicus,Primary crater case,130,0.6,1.2,2.0,1.1,230.66284440330313,328.9774232304058,0.701150985190111,0.644574538819406,0.9999999999999998
Copernicus,Primary crater case,130,0.6,1.5,2.5,0.9,229.6305387800298,336.6114472029469,0.6821827976681462,0.6101278816731865,1.0
Copernicus,Primary crater case,130,0.6,1.5,2.5,1.0,233.4726537912484,369.4288996542236,0.6319826467549591,0.5873072714075663,1.0
Copernicus,Primary crater case,130,0.6,1.5,2.5,1.1,230.66284440330313,405.8646657324549,0.5683245275541073,0.5660925118806734,0.981082278655956
Copernicus,Primary crater case,130,0.8,1.2,1.8,0.9,231.986179687493,281.8249100314455,0.823157114328923,0.7325423469595916,0.9999999999999997
Copernicus,Primary crater case,130,0.8,1.2,1.8,1.0,237.94729006275568,292.45945761970614,0.8136077800300298,0.7503416596952197,1.0
Copernicus,Primary crater case,130,0.8,1.2,1.8,1.1,236.7217897749041,311.07287468354775,0.7609849943223739,0.7249547322827211,1.0
Copernicus,Primary crater case,130,0.8,1.2,2.0,0.9,231.986179687493,290.6608204904113,0.7981336435233316,0.7252777406135181,0.9999999999999997
Copernicus,Primary crater case,130,0.8,1.2,2.0,1.0,237.94729006275568,307.5980564300586,0.7735656487051308,0.7365411268008706,1.0
Copernicus,Primary crater case,130,0.8,1.2,2.0,1.1,236.7217897749041,328.9774232304058,0.7195684963740242,0.6813635567894791,1.0
Copernicus,Primary crater case,130,0.8,1.5,2.5,0.9,231.986179687493,336.6114472029469,0.6891808986746248,0.6322351205263078,0.9999999999999997
Copernicus,Primary crater case,130,0.8,1.5,2.5,1.0,237.94729006275568,369.4288996542236,0.6440949538205282,0.6234471491347365,0.9490857057004155
Copernicus,Primary crater case,130,0.8,1.5,2.5,1.1,236.7217897749041,405.8646657324549,0.5832530145182694,0.6027345386927698,0.9362506906442315
Copernicus,Primary crater case,130,1.0,1.2,1.8,0.9,235.28727144817418,281.8249100314455,0.8348703860915676,0.7688811200131911,1.0
Copernicus,Primary crater case,130,1.0,1.2,1.8,1.0,242.35707621101255,292.45945761970614,0.8286860619366831,0.7910505080140762,1.0
Copernicus,Primary crater case,130,1.0,1.2,1.8,1.1,240.90557415329488,311.07287468354775,0.7744345256665868,0.7431986946510988,1.0
Copernicus,Primary crater case,130,1.0,1.2,2.0,0.9,235.28727144817418,290.6608204904113,0.809490839017074,0.7599490664388714,1.0
Copernicus,Primary crater case,130,1.0,1.2,2.0,1.0,242.35707621101255,307.5980564300586,0.7879018451019358,0.7643974238816845,1.0
Copernicus,Primary crater case,130,1.0,1.2,2.0,1.1,240.90557415329488,328.9774232304058,0.7322860389254491,0.6925288919013193,1.0
Copernicus,Primary crater case,130,1.0,1.5,2.5,0.9,235.28727144817418,336.6114472029469,0.6989877302251006,0.6574162554524754,1.0
Copernicus,Primary crater case,130,1.0,1.5,2.5,1.0,242.35707621101255,369.4288996542236,0.6560317193317925,0.6429225988325173,0.9174918980685631
Copernicus,Primary crater case,130,1.0,1.5,2.5,1.1,240.90557415329488,405.8646657324549,0.5935613382814144,0.6145782594441115,0.9052856554019465
Copernicus,Primary crater case,150,0.6,1.2,1.8,0.9,197.1271511275208,240.53404040823378,0.8195395162903225,0.7254273919691597,1.0
Copernicus,Primary crater case,150,0.6,1.2,1.8,1.0,199.74699114243253,250.57828334622258,0.7971440640226721,0.7223961095680521,1.0
Copernicus,Primary crater case,150,0.6,1.2,1.8,1.1,197.9009503516083,266.8063298315034,0.7417400871882949,0.7028071481934901,0.9999999999999998
Copernicus,Primary crater case,150,0.6,1.2,2.0,0.9,197.1271511275208,248.68667294942657,0.7926727588157045,0.717427814520246,1.0
Copernicus,Primary crater case,150,0.6,1.2,2.0,1.0,199.74699114243253,263.8040379975247,0.7571794300749362,0.7118680315042634,1.0
